Title,Genre,Language,Year,Actors,Director
Gun Shy,Action Comedy Romance Thriller,en,2000,Sandra Bullock Liam Neeson Oliver Platt Jos\u00e9 Z\u00fa\u00f1iga Michael DeLorenzo,Eric Blakeney
The Rundown,Adventure Action Comedy Thriller,en,2003,"Dwayne Johnson Seann William Scott Rosario Dawson Christopher Walken Ernie Reyes, Jr.",Peter Berg
Virtuosity,Action Crime Science Fiction Thriller,en,1995,Denzel Washington Russell Crowe Kelly Lynch William Forsythe Stephen Spinella,Brett Leonard
Atlantis: The Lost Empire,Animation Family Adventure Science Fiction,en,2001,Michael J. Fox Corey Burton Claudia Christian James Garner John Mahoney,Gary Trousdale
Twilight Zone: The Movie,Drama Fantasy Horror Science Fiction Thriller,en,1983,Albert Brooks Vic Morrow John Larroquette John Lithgow Dan Aykroyd,Steven Spielberg
Jimmy Neutron: Boy Genius,Action Adventure Animation Comedy Family,en,2001,Debi Derryberry Megan Cavanagh Mark DeCarlo Jeffrey Garcia Patrick Stewart,John A. Davis
Star Trek V: The Final Frontier,Science Fiction Action Adventure Thriller,en,1989,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,William Shatner
Mystery Men,Adventure Fantasy Action Comedy Science Fiction,en,1999,Ben Stiller Geoffrey Rush Claire Forlani William H. Macy Hank Azaria,Kinka Usher
Star Trek II: The Wrath of Khan,Action Adventure Science Fiction Thriller,en,1982,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer
Star Trek: Insurrection,Science Fiction Action Adventure Thriller,en,1998,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
Phantasm II,Action Horror Science Fiction Thriller,en,1988,James Le Gros Reggie Bannister Angus Scrimm Paula Irvine Samantha Phillips,Don Coscarelli
Titan A.E.,Animation Action Science Fiction Family Adventure,en,2000,Matt Damon Bill Pullman Drew Barrymore John Leguizamo Nathan Lane,Gary Goldman
Summer Storm,Comedy Drama,de,2004,Robert Stadlober Kostja Ullmann Alicja Bachleda-Curu\u015b J\u00fcrgen Tonkel Tristano Casanova,Marco Kreuzpaintner
Snakes on a Plane,Action Crime Horror Thriller,en,2006,Samuel L. Jackson Julianna Margulies Kenan Thompson Nathan Phillips Rachel Blanchard,David R. Ellis
Moonraker,Action Adventure Thriller Science Fiction,en,1979,Roger Moore Lois Chiles Michael Lonsdale Corinne Cl\u00e9ry Richard Kiel,Lewis Gilbert
Time Changer,Comedy Drama Family Science Fiction,en,2002,D. David Morin Gavin MacLeod Hal Linden Jennifer O'Neill Paul Rodr\u00edguez,Rich Christiano
Terminator 2: Judgment Day,Action Thriller Science Fiction,en,1991,Arnold Schwarzenegger Linda Hamilton Robert Patrick Edward Furlong Michael Edwards,James Cameron
Star Trek VI: The Undiscovered Country,Science Fiction Action Adventure Thriller,en,1991,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer
Quarantine,Horror Science Fiction Thriller,en,2008,Jennifer Carpenter Steve Harris Jay Hernandez Johnathon Schaech Columbus Short,John Erick Dowdle
The Boxtrolls,Animation Comedy Family Fantasy,en,2014,Ben Kingsley Isaac Hempstead-Wright Elle Fanning Dee Bradley Baker Toni Collette,Anthony Stacchi
Star Trek: First Contact,Science Fiction Action Adventure Thriller,en,1996,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
The Client,Drama Thriller Crime Mystery,en,1994,Susan Sarandon Tommy Lee Jones Mary-Louise Parker Anthony LaPaglia Bradley Whitford,Joel Schumacher
Red Sonja,Adventure Fantasy Action,en,1985,"Arnold Schwarzenegger Brigitte Nielsen Sandahl Bergman Paul L. Smith Ernie Reyes, Jr.",Richard Fleischer
X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,en,2014,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
The Host,Action Adventure Romance Science Fiction Thriller,en,2013,Saoirse Ronan Diane Kruger Jake Abel William Hurt Frances Fisher,Andrew Niccol
Damnation Alley,Action Adventure Science Fiction,en,1977,Jan-Michael Vincent George Peppard Dominique Sanda Paul Winfield Jackie Earle Haley,Jack Smight
Terminator Genisys,Science Fiction Action Thriller Adventure,en,2015,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor
Tuck Everlasting,Fantasy Drama Science Fiction Romance Family,en,2002,Alexis Bledel William Hurt Sissy Spacek Jonathan Jackson Scott Bairstow,Jay Russell
VeggieTales: The Pirates Who Don't Do Anything,Adventure Animation Comedy Science Fiction Family,en,2008,Phil Vischer Mike Nawrocki Cam Clarke Laura Gerow Yuri Lowenthal,Mike Nawrocki
Aimee & Jaguar,Drama History Romance,de,1999,Maria Schrader Juliane K\u00f6hler Johanna Wokalek Heike Makatsch Elisabeth Degen,Max F\u00e4rberb\u00f6ck
Aliens vs Predator: Requiem,Fantasy Action Science Fiction Thriller Horror,en,2007,Steven Pasquale Reiko Aylesworth John Ortiz Ariel Gade Sam Trammell,Colin Strause
The Spirit,Action Comedy Thriller Crime Science Fiction,en,2008,Gabriel Macht Scarlett Johansson Samuel L. Jackson Eva Mendes Paz Vega,Frank Miller
Predators,Action Science Fiction Adventure Thriller,en,2010,Topher Grace Alice Braga Laurence Fishburne Adrien Brody Danny Trejo,Nimr\u00f3d Antal
Somewhere in Time,Science Fiction Drama Fantasy Romance,en,1980,Christopher Reeve Jane Seymour Christopher Plummer Teresa Wright Bill Erwin,Jeannot Szwarc
Interstellar,Adventure Drama Science Fiction,en,2014,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan
The Astronaut Farmer,Adventure Comedy Drama Science Fiction,en,2006,Billy Bob Thornton Virginia Madsen Max Thieriot Jasper Polish Logan Polish,Michael Polish
I Am Number Four,Action Thriller Science Fiction Adventure,en,2011,Alex Pettyfer Timothy Olyphant Teresa Palmer Dianna Agron Callan McAuliffe,D.J. Caruso
Incendies,Drama War Mystery,fr,2010,Lubna Azabal M\u00e9lissa D\u00e9sormeaux-Poulin Maxim Gaudette R\u00e9my Girard Allen Altman,Denis Villeneuve
Valley of the Wolves: Iraq,Adventure Drama Action,tr,2006,Muhammed Necati \u015ea\u015fmaz Billy Zane Ghassan Massoud Gurkan Uygun Berg\u00fczar Korel,Serdar Akar
Fortress,Action Thriller Science Fiction,en,1992,Christopher Lambert Kurtwood Smith Loryn Locklin Clifton Collins Jr Jeffrey Combs,Stuart Gordon
The Others,Horror Drama Mystery Thriller,en,2001,Nicole Kidman Christopher Eccleston Alakina Mann James Bentley Eric Sykes,Alejandro Amen\u00e1bar
Why I Did (Not) Eat My Father,Adventure Comedy Animation,fr,2015,Jamel Debbouze Ari\u00e9 Elmaleh M\u00e9lissa Theuriau Patrice Thibaud Christian Hecq,Jamel Debbouze
Twilight,Adventure Fantasy Drama Romance,en,2008,Kristen Stewart Robert Pattinson Billy Burke Taylor Lautner Peter Facinelli,Catherine Hardwicke
Men in Black,Action Adventure Comedy Science Fiction,en,1997,Tommy Lee Jones Will Smith Linda Fiorentino Vincent D'Onofrio Rip Torn,Barry Sonnenfeld
The Girl on the Train,Drama Romance,fr,2009,Michel Blanc Catherine Deneuve \u00c9milie Dequenne Nicolas Duvauchelle Mathieu Demy,Andr\u00e9 T\u00e9chin\u00e9
Virgin Territory,Adventure Action Comedy Romance,en,2007,Ryan Cartwright Hayden Christensen Mischa Barton Jay Villiers Simone Spinazz\u00e8,David Leland
Brave,Animation Adventure Comedy Family Action,en,2012,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
"The Beast from 20,000 Fathoms",Adventure Horror Science Fiction,en,1953,Paul Hubschmid Paula Raymond Cecil Kellaway Kenneth Tobey Donald Woods,Eug\u00e8ne Louri\u00e9
The Devil's Tomb,Action Horror Thriller Science Fiction,en,2009,Cuba Gooding Jr. Ray Winstone Ron Perlman Taryn Manning Stephanie Jacobsen,Jason Connery
Sarah's Key,Drama War,fr,2010,Kristin Scott Thomas Niels Arestrup Fr\u00e9d\u00e9ric Pierrot Michel Duchaussoy Dominique Frot,Gilles Paquet-Brenner
Devil,Horror Mystery Thriller,en,2010,Chris Messina Jacob Vargas Bojana Novakovi\u0107 Logan Marshall-Green Bokeem Woodbine,John Erick Dowdle
Tora! Tora! Tora!,History Action Drama Adventure War,en,1970,Martin Balsam S\u00f4 Yamamura Joseph Cotten Tatsuya Mihashi E.G. Marshall,Richard Fleischer
Get Carter,Action Drama Thriller Crime,en,2000,Sylvester Stallone Miranda Richardson Rachael Leigh Cook Mickey Rourke Johnny Strong,Stephen T. Kay
Jurassic Park III,Adventure Action Thriller Science Fiction,en,2001,Sam Neill William H. Macy T\u00e9a Leoni Trevor Morgan Alessandro Nivola,Joe Johnston
21 Grams,Drama Crime Thriller,en,2003,Sean Penn Naomi Watts Benicio del Toro Danny Huston Carly Nahon,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Vampires,Action Drama Fantasy Horror Thriller,en,1998,James Woods Daniel Baldwin Sheryl Lee Thomas Ian Griffith Maximilian Schell,John Carpenter
The Fountain,Drama Adventure Science Fiction Romance,en,2006,Hugh Jackman Rachel Weisz Ellen Burstyn Mark Margolis Stephen McHattie,Darren Aronofsky
Star Trek III: The Search for Spock,Science Fiction Action Adventure Thriller,en,1984,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Leonard Nimoy
Bill & Ted's Bogus Journey,Adventure Comedy Family Fantasy Science Fiction,en,1991,Keanu Reeves Alex Winter George Carlin William Sadler Joss Ackland,Peter Hewitt
Red Tails,Drama Action Adventure History War,en,2012,Bryan Cranston David Oyelowo Cuba Gooding Jr. Daniela Ruah Terrence Howard,Anthony Hemingway
Kansas City,Thriller Drama Music Crime,en,1996,Jennifer Jason Leigh Miranda Richardson Harry Belafonte Michael Murphy Dermot Mulroney,Robert Altman
Sky Captain and the World of Tomorrow,Mystery Action Thriller Science Fiction Adventure,en,2004,Jude Law Gwyneth Paltrow Giovanni Ribisi Angelina Jolie Bai Ling,Kerry Conran
Babel,Drama,en,2006,Brad Pitt Cate Blanchett Gael Garc\u00eda Bernal Rinko Kikuchi Adriana Barraza,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Deep Rising,Adventure Action Horror Science Fiction,en,1998,Treat Williams Famke Janssen Anthony Heald Kevin J. O'Connor Una Damon,Stephen Sommers
Night Watch,Fantasy Action Thriller,ru,2004,Konstantin Khabenskiy Vladimir Menshov Galina Tyunina Mariya Poroshina Zhanna Friske,Timur Bekmambetov
Forbidden Kingdom,Thriller Adventure Mystery Fantasy,ru,2014,Jason Flemyng Aleksey Chadov Agniya Ditkovskite Yuriy Tsurilo Olga Zaytseva,Oleg Stepchenko
A Bug's Life,Adventure Animation Comedy Family,en,1998,Kevin Spacey Julia Louis-Dreyfus Hayden Panettiere Phyllis Diller Bonnie Hunt,Andrew Stanton
The Terminator,Action Thriller Science Fiction,en,1984,Arnold Schwarzenegger Michael Biehn Linda Hamilton Paul Winfield Lance Henriksen,James Cameron
The Tourist,Action Thriller Romance,en,2010,Johnny Depp Angelina Jolie Paul Bettany Timothy Dalton Steven Berkoff,Florian Henckel von Donnersmarck
RED,Action Adventure Comedy Crime Thriller,en,2010,Bruce Willis John Malkovich Helen Mirren Mary-Louise Parker Karl Urban,Robert Schwentke
Bandits,Action Comedy Crime Romance,en,2001,Bruce Willis Billy Bob Thornton Cate Blanchett Troy Garity William Converse-Roberts,Barry Levinson
Flatliners,Drama Horror Science Fiction Thriller,en,1990,Kiefer Sutherland Julia Roberts Kevin Bacon William Baldwin Oliver Platt,Joel Schumacher
Resident Evil: Retribution,Action Horror Science Fiction,en,2012,Milla Jovovich Sienna Guillory Michelle Rodriguez Aryana Engineer Li Bingbing,Paul W.S. Anderson
The Cottage,Horror Comedy Crime Thriller,en,2008,Andy Serkis Reece Shearsmith Jennifer Ellison Steven O'Donnell James Bierman,Paul Andrew Williams
Rambo: First Blood Part II,Action Adventure Thriller War,en,1985,Sylvester Stallone Richard Crenna Charles Napier Steven Berkoff Julia Nickson,George P. Cosmatos
Kick-Ass 2,Action Adventure Crime,en,2013,Aaron Taylor-Johnson Chlo\u00eb Grace Moretz Christopher Mintz-Plasse Clark Duke Jim Carrey,Jeff Wadlow
The Croods,Adventure Animation Comedy Family Fantasy,en,2013,Nicolas Cage Emma Stone Ryan Reynolds Catherine Keener Cloris Leachman,Chris Sanders
Star Wars: Episode II - Attack of the Clones,Adventure Action Science Fiction,en,2002,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,George Lucas
Star Wars: Episode III - Revenge of the Sith,Science Fiction Adventure Action,en,2005,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,George Lucas
3 Ninjas Kick Back,Adventure Action Comedy Family,en,1994,Victor Wong Max Elliott Slade Sean Fox J. Evan Bonifant Caroline Junko King,Charles T. Kanganis
Johnny English Reborn,Crime Adventure Action Comedy Thriller,en,2011,Rowan Atkinson Dominic West Gillian Anderson Rosamund Pike Daniel Kaluuya,Oliver Parker
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Science Fiction Adventure Action Comedy Family,en,1991,Paige Turco David Warner Michelan Sisti Leif Tilden Kenn Scott,Michael Pressman
The Great Escape,Adventure Drama History Thriller War,en,1963,Steve McQueen James Garner Richard Attenborough James Donald Charles Bronson,John Sturges
"Guten Tag, Ramón",Drama,en,2013,Adriana Barraza R\u00fcdiger Evers Hector Kotsifakis Franziska Kruse Arcelia Ram\u00edrez,Jorge Ram\u00edrez Su\u00e1rez
Outbreak,Action Drama Science Fiction Thriller,en,1995,Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.,Wolfgang Petersen
Cop Out,Action Comedy Crime,en,2010,Bruce Willis Tracy Morgan Juan Carlos Hern\u00e1ndez Seann William Scott Michelle Trachtenberg,Kevin Smith
Evil Words,Horror Mystery Thriller,fr,2003,Patrick Huard Michel C\u00f4t\u00e9 Catherine Florent Albert Millaire Jean L'Italien,\u00c9ric Tessier
Apollo 18,Horror Thriller Science Fiction,en,2011,Ryan Robbins Warren Christie Lloyd Owen Andrew Airlie Michael Kopsa,Gonzalo L\u00f3pez-Gallego
(500) Days of Summer,Comedy Drama Romance,en,2009,Joseph Gordon-Levitt Zooey Deschanel Chlo\u00eb Grace Moretz Geoffrey Arend Matthew Gray Gubler,Marc Webb
Vanilla Sky,Drama Mystery Romance Science Fiction Thriller,en,2001,Tom Cruise Pen\u00e9lope Cruz Cameron Diaz Kurt Russell Jason Lee,Cameron Crowe
Flubber,Comedy Family Science Fiction,en,1997,Robin Williams Marcia Gay Harden Christopher McDonald Raymond J. Barry Clancy Brown,Les Mayfield
The Artist,Drama Comedy Romance,en,2011,Jean Dujardin B\u00e9r\u00e9nice Bejo John Goodman James Cromwell Penelope Ann Miller,Michel Hazanavicius
Street Fighter,Action Adventure Thriller,en,1994,Jean-Claude Van Damme Ra\u00fal Juli\u00e1 Ming-Na Wen Damian Chapa Kylie Minogue,Steven E. de Souza
Scooby-Doo,Mystery Adventure Comedy,en,2002,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Rowan Atkinson,Raja Gosnell
Alpha and Omega: The Legend of the Saw Tooth Cave,Family Animation Comedy Adventure,en,2014,Dee Dee Greene Ben Diskin Lindsay Torrance Kate Higgins Christopher Corey Smith,Richard Rich
Princess Mononoke,Adventure Fantasy Animation,ja,1997,Y\u014dji Matsuda Yuriko Ishida Y\u016bko Tanaka Kaoru Kobayashi Masahiko Nishimura,Hayao Miyazaki
Ronin,Action Thriller Crime Adventure,en,1998,Robert De Niro Jean Reno Natascha McElhone Stellan Skarsg\u00e5rd Sean Bean,John Frankenheimer
Chiamatemi Francesco - Il Papa della gente,Drama,it,2015,Rodrigo de la Serna Sergio Hern\u00e1ndez \u00c0lex Brendem\u00fchl Maximilian Dirr Mercedes Mor\u00e1n,Daniele Luchetti
The Princess Diaries 2: Royal Engagement,Comedy Drama Family Romance,en,2004,Anne Hathaway Julie Andrews H\u00e9ctor Elizondo John Rhys-Davies Heather Matarazzo,Garry Marshall
Firefox,Science Fiction Action Adventure Thriller,en,1982,Clint Eastwood Freddie Jones David Huffman Warren Clarke Ronald Lacey,Clint Eastwood
Aladdin,Animation Family Comedy Adventure Fantasy,en,1992,Scott Weinger Robin Williams Linda Larkin Jonathan Freeman Frank Welker,Ron Clements
Loving Vincent,"Animation, Biography,  Crime",NAN,2017,"Douglas Booth, Jerome Flynn, Robert Gulaczyk, Helen McCrory","Directors:Dorota Kobiela, Hugh Welchman"
Men in Black II,Action Adventure Comedy Science Fiction,en,2002,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld
Thor,Adventure Fantasy Action,en,2011,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh
The Addams Family,Horror Comedy Fantasy,en,1991,Ra\u00fal Juli\u00e1 Anjelica Huston Christopher Lloyd Christina Ricci Carel Struycken,Barry Sonnenfeld
Assassins,Action Adventure Crime Thriller,en,1995,Sylvester Stallone Antonio Banderas Julianne Moore Anatoli Davydov Muse Watson,Richard Donner
Superman,Action Adventure Fantasy Science Fiction,en,1978,Christopher Reeve Marlon Brando Margot Kidder Gene Hackman Ned Beatty,Richard Donner
Return of the Living Dead 3,Comedy Science Fiction Romance Horror,en,1993,Melinda Clarke J. Trevor Edmond Kent McCord Sarah Douglas James T. Callahan,Brian Yuzna
Mirror Mirror,Adventure Fantasy Drama Comedy Science Fiction,en,2012,Julia Roberts Lily Collins Armie Hammer Nathan Lane Martin Klebba,Tarsem Singh
Loose Cannons,Comedy Drama Romance,it,2010,Nicole Grimaudo Riccardo Scamarcio Alessandro Preziosi Lunetta Savino Ennio Fantastichini,Ferzan Ozpetek
The Thirteenth Floor,Thriller Science Fiction Mystery,en,1999,Craig Bierko Armin Mueller-Stahl Gretchen Mol Vincent D'Onofrio Dennis Haysbert,Josef Rusnak
Resident Evil: Afterlife,Action Adventure Horror Science Fiction,en,2010,Milla Jovovich Wentworth Miller Ali Larter Kim Coates Kacey Clarke,Paul W.S. Anderson
Rubber,Comedy Drama Fantasy Horror Mystery,en,2010,Thomas F. Duffy David Bowe Stephen Spinella Roxane Mesquida Jack Plotnick,Quentin Dupieux
Rambo III,Action Adventure Thriller War,en,1988,Sylvester Stallone Richard Crenna Kurtwood Smith Spiros Foc\u00e1s Sasson Gabai,Peter MacDonald
Frequency,Crime Drama Science Fiction Thriller,en,2000,Dennis Quaid Jim Caviezel Andre Braugher Elizabeth Mitchell Noah Emmerich,Gregory Hoblit
The Mortal Instruments: City of Bones,Action Adventure Drama Mystery Romance,en,2013,Lily Collins Jamie Campbell Bower Kevin Zegers Jemima West Robert Sheehan,Harald Zwart
Maximum Risk,Action Adventure Thriller,en,1996,Jean-Claude Van Damme Natasha Henstridge Jean-Hugues Anglade Zach Grenier Paul Ben-Victor,Ringo Lam
Winter's Tale,Drama Fantasy Mystery Romance,en,2014,Colin Farrell Jessica Brown Findlay Russell Crowe William Hurt Jennifer Connelly,Akiva Goldsman
Punch-Drunk Love,Comedy Drama Romance,en,2002,Adam Sandler Emily Watson Philip Seymour Hoffman Luis Guzm\u00e1n Mary Lynn Rajskub,Paul Thomas Anderson
Dante's Peak,Action Adventure Thriller,en,1997,Pierce Brosnan Linda Hamilton Jamie Ren\u00e9e Smith Jeremy Foley Elizabeth Hoffman,Roger Donaldson
Captain America: The Winter Soldier,Action Adventure Science Fiction,en,2014,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
Scarface,Action Crime Drama Thriller,en,1983,Al Pacino Steven Bauer Michelle Pfeiffer Mary Elizabeth Mastrantonio Robert Loggia,Brian De Palma
Double Impact,Thriller Action Crime Drama,en,1991,Jean-Claude Van Damme Geoffrey Lewis Alonna Shaw Cory Everson Philip Chan Yan-Kin,Sheldon Lettich
Bride & Prejudice,Drama Comedy Music Romance,en,2004,Aishwarya Rai Bachchan Martin Henderson Naveen Andrews Daniel Gillies Indira Varma,Gurinder Chadha
Ghost,Fantasy Drama Thriller Mystery Romance,en,1990,Patrick Swayze Demi Moore Whoopi Goldberg Tony Goldwyn Vincent Schiavelli,Jerry Zucker
Betty Fisher and Other Stories,Drama Thriller Crime Foreign,fr,2001,Sandrine Kiberlain Nicole Garcia Mathilde Seigner Luck Mervil St\u00e9phane Freiss,Claude Miller
The I Inside,Thriller Mystery Science Fiction,en,2004,Ryan Phillippe Sarah Polley Piper Perabo Robert Sean Leonard Stephen Rea,Roland Suso Richter
